fit_seed,method,menus,worst_regret_mean,mean_regret_mean,regimes_mean
0,learned_scalar,60,0.6145421810699588,0.09855742026748972,1.0
0,budget_conditioned,60,0.19302910052910055,0.010582676550558494,2.3333333333333335
0,budget_conditioned_compressed,60,0.19660934744268077,0.010731072714579655,2.1333333333333333
0,hazard,60,0.055196942974720734,0.004281006577013519,2.2666666666666666
0,hazard_compressed,60,0.058788212815990566,0.005725905717225157,2.066666666666667
1,learned_scalar,60,0.6400771604938271,0.10028043016975309,1.0
1,budget_conditioned,60,0.1812742504409171,0.010664338073192236,2.283333333333333
1,budget_conditioned_compressed,60,0.17349647266313933,0.010428516313932977,2.0166666666666666
1,hazard,60,0.1018827160493827,0.012164834104938271,2.183333333333333
1,hazard_compressed,60,0.09360229276895943,0.011728119488536155,2.1
2,learned_scalar,60,0.6214351851851851,0.09151475694444443,1.0
2,budget_conditioned,60,0.1654695767195767,0.009747184560552615,2.35
2,budget_conditioned_compressed,60,0.15968253968253968,0.009943783068783069,2.2
2,hazard,60,0.06291666666666666,0.004269386574074074,2.3333333333333335
2,hazard_compressed,60,0.0524537037037037,0.004058159722222222,2.0833333333333335
3,learned_scalar,60,0.651743827160494,0.10582554839065256,1.0
3,budget_conditioned,60,0.19869488536155203,0.011043802358906526,2.3833333333333333
3,budget_conditioned_compressed,60,0.19721340388007055,0.011827808090828923,2.1166666666666667
3,hazard,60,0.06322089947089946,0.005247671406525573,2.3333333333333335
3,hazard_compressed,60,0.06399250440917106,0.005874600418871252,2.2
4,learned_scalar,60,0.613233024691358,0.08909649884259259,1.0
4,budget_conditioned,60,0.2170249118165785,0.010503093309082888,2.3333333333333335
4,budget_conditioned_compressed,60,0.20677358906525573,0.012162732859347438,2.1666666666666665
4,hazard,60,0.046802983539094636,0.003925459747942382,2.4
4,hazard_compressed,60,0.05877314814814813,0.00453454539609053,2.1166666666666667
